Question,Intent
Can you please What are the subjects in Mechanical Engineering?,mechanical_courses
Tell me about Computer Science,cse_courses
Give me information about wifi at NIET,hostel
Does NIET offer companies?,placement
Kindly Give me details of Electrical branch,electrical_courses
Please What are the features of canteen?,infrastructure
I want to know Give details about Mechanical branch,mechanical_courses
Does NIET offer Machine Learning?,ai_courses
Tell me about Mechanical Engineering,mechanical_courses
Kindly Does NIET have wifi?,hostel
Please Placement details for Artificial Intelligence,ai_courses
I want to know Give details about Civil department,civil_courses
Can you please Can you explain about AI program?,ai_courses
I want to know Career opportunities in JEE admission,admissions
I want to know Provide some information on wifi,infrastructure
I want to know Can I apply for internship?,placement
Can you explain about hostel?,hostel
Please Hostel fees for M.Tech fees students?,fees
What are the features of ac room?,hostel
I want to know Give me details of hostel fees,hostel
Eligibility for sports facilities?,infrastructure
How is the college fees at NIET?,fees
Kindly Does NIET offer Civil department?,civil_courses
Please How is CS branch at NIET?,cse_courses
Please What labs are available for MCA fees students?,fees
What is the syllabus for ac room?,hostel
I want to know Does NIET offer Mechanical course?,mechanical_courses
Kindly How is Mechanical course at NIET?,mechanical_courses
Can you please How is wifi at NIET?,infrastructure
Tell me about boys hostel facility,hostel
Please Provide some information on CS branch,cse_courses
What is the syllabus for sports facilities?,infrastructure
Kindly Does NIET offer MBA fees?,fees
Can you please Is ac room free for students?,hostel
Kindly Eligibility for campus?,infrastructure
Please What courses are offered in admission process?,admissions
Kindly Hostel fees for MBA fees students?,fees
Please Can you explain about Data Science?,ai_courses
Kindly What services are included in hostel?,hostel
Can you please Is library available at NIET?,infrastructure
Provide some information on admission date,admissions
Kindly What is the syllabus for M.Tech fees?,fees
Please Give me information about canteen at NIET,infrastructure
I want to know Is companies available at NIET?,placement
Please Fees for wifi program?,infrastructure
Can you please Can you explain about B.Tech fees?,fees
Provide some information on campus,infrastructure
I want to know Is hostel facilities available on campus?,hostel
Please Give me information about hostel at NIET,hostel
Please Placement details for M.Tech fees,fees
Kindly How is Civil branch at NIET?,civil_courses
Can you please Tell me about admission date,admissions
What are the features of college fees?,fees
I want to know Placement details for average package,placement
I want to know What is average package?,placement
Kindly Does NIET offer girls hostel?,hostel
Please How is Mechanical department at NIET?,mechanical_courses
Can you explain about JEE admission?,admissions
Give me details of B.Tech fees,fees
Please What courses are offered in AI program?,ai_courses
Kindly Career opportunities in Electrical branch,electrical_courses
I want to know Give me information about college fees at NIET,fees
Please Fees for average package program?,placement
Can you please Placement details for Artificial Intelligence,ai_courses
Can I apply for CS branch?,cse_courses
Can you please Provide some information on Electrical department,electrical_courses
Please What are the subjects in direct admission?,admissions
Kindly Tell me about Mechanical branch,mechanical_courses
I want to know What is hostel fees?,hostel
I want to know What services are included in ac room?,hostel
I want to know What is the syllabus for gym?,infrastructure
I want to know What labs are available for campus students?,infrastructure
Placement details for M.Tech fees,fees
What is the syllabus for Civil branch?,civil_courses
What is installment payment?,fees
Kindly Placement details for CSE,cse_courses
I want to know Is M.Tech fees available at NIET?,fees
Please How is the MBA fees at NIET?,fees
Is Electrical course available at NIET?,electrical_courses
Can you please Hostel fees for placement training students?,placement
Kindly How is the girls hostel at NIET?,hostel
Kindly Can you explain about wifi?,infrastructure
Kindly Give me information about sports facilities at NIET,infrastructure
Kindly How is wifi at NIET?,infrastructure
Fees for Mechanical course program?,mechanical_courses
I want to know Placement details for MBA fees,fees
Placement details for highest package,placement
Placement details for Data Science,ai_courses
Kindly Can you explain about B.Tech fees?,fees
Please Provide some information on Data Science,ai_courses
Can you please What labs are available for Mechanical course students?,mechanical_courses
Does NIET offer ac room?,hostel
Please Duration of Mechanical department course?,mechanical_courses
Can you please Give details about Computer Science Engineering,cse_courses
Can you please Provide some information on canteen,infrastructure
Kindly Career opportunities in CSE,cse_courses
Tell me about gym facility,infrastructure
I want to know Placement details for CS branch,cse_courses
Can you please Does NIET offer Artificial Intelligence?,ai_courses
I want to know Fees for M.Tech fees program?,fees
Tell me about installment payment facility,fees
Hostel fees for gym students?,infrastructure
Duration of college fees course?,fees
Can you please What are the subjects in Civil department?,civil_courses
Kindly Placement details for highest package,placement
I want to know What are the subjects in MBA fees?,fees
I want to know Give me details of Computer Science,cse_courses
Can you please What labs are available for ac room students?,hostel
Is canteen available at NIET?,infrastructure
Kindly Is boys hostel free for students?,hostel
Please Provide some information on tuition fee,fees
What is wifi?,hostel
Kindly What are the subjects in placement training?,placement
Can you please Duration of medical facilities course?,infrastructure
What is Data Science?,ai_courses
Kindly What courses are offered in college fees?,fees
Please What are the subjects in Mechanical branch?,mechanical_courses
Can you please Does NIET offer CSE?,cse_courses
Please Give me details of Electrical branch,electrical_courses
Can you please What courses are offered in MBA fees?,fees
Kindly Give me details of direct admission,admissions
Please How is average package at NIET?,placement
Kindly Is B.Tech fees available on campus?,fees
Please What is the syllabus for gym?,infrastructure
Kindly Provide some information on Electrical Engineering,electrical_courses
Can you please Tell me about medical facilities facility,infrastructure
I want to know Give details about Civil branch,civil_courses
Can you please What is the syllabus for internship?,placement
Can you please Is admission process available at NIET?,admissions
Can you please Give me information about mess at NIET,hostel
I want to know Hostel fees for Computer Science students?,cse_courses
I want to know Tell me about hostel fees facility,hostel
Can you please Is girls hostel available at NIET?,hostel
Duration of admission course?,admissions
Can you please Tell me about canteen,infrastructure
Please What is Civil department?,civil_courses
I want to know What courses are offered in boys hostel?,hostel
I want to know Is Civil branch available at NIET?,civil_courses
Can you please How is sports facilities at NIET?,infrastructure
Eligibility for Machine Learning?,ai_courses
I want to know What are the subjects in installment payment?,fees
Kindly Can you explain about mess?,hostel
I want to know Is Mechanical department available at NIET?,mechanical_courses
Kindly What is wifi?,infrastructure
Please Can you explain about gym?,infrastructure
Please Eligibility for Mechanical branch?,mechanical_courses
Eligibility for hostel facilities?,hostel
Please Does NIET offer JEE admission?,admissions
Can you please Does hostel provide sports facilities?,infrastructure
Eligibility for average package?,placement
Give details about AI and ML,ai_courses
I want to know Eligibility for installment payment?,fees
Kindly Eligibility for Civil branch?,civil_courses
Can you explain about Electrical branch?,electrical_courses
Can you please Give me details of Civil branch,civil_courses
I want to know Does NIET offer CSE?,cse_courses
Kindly Give details about hostel facilities,hostel
I want to know What is installment payment?,fees
Kindly Duration of direct admission course?,admissions
Can you please Fees for installment payment program?,fees
Kindly Career opportunities in Mechanical branch,mechanical_courses
Is campus free for students?,infrastructure
What labs are available for Electrical course students?,electrical_courses
I want to know Provide some information on campus,infrastructure
I want to know Is Mechanical branch available at NIET?,mechanical_courses
What are the features of library?,infrastructure
Placement details for canteen,infrastructure
Can you please Can I apply for Mechanical branch?,mechanical_courses
Can you please Fees for Mechanical course program?,mechanical_courses
Please Placement details for B.Tech fees,fees
Can you please Duration of Civil course course?,civil_courses
Can you please Placement details for MCA fees,fees
I want to know What labs are available for companies students?,placement
I want to know Fees for Machine Learning program?,ai_courses
I want to know Eligibility for library?,infrastructure
Please What labs are available for medical facilities students?,infrastructure
What are the subjects in placement?,placement
Please Fees for Civil department program?,civil_courses
Kindly Placement details for companies,placement
Kindly Tell me about canteen,infrastructure
Hostel fees for ac room students?,hostel
Please Provide some information on admission date,admissions
I want to know How is Mechanical Engineering at NIET?,mechanical_courses
I want to know Eligibility for B.Tech fees?,fees
Give details about placement training,placement
Please Hostel fees for average package students?,placement
Kindly Placement details for college fees,fees
Can you explain about Mechanical Engineering?,mechanical_courses
Does NIET offer wifi?,infrastructure
Fees for admission program?,admissions
Kindly What is gym?,infrastructure
Please What is the syllabus for sports facilities?,infrastructure
What is the syllabus for hostel fees?,hostel
I want to know Career opportunities in Machine Learning,ai_courses
Please Is boys hostel available at NIET?,hostel
I want to know What are the features of M.Tech fees?,fees
Can you explain about average package?,placement
Can you please Is installment payment available at NIET?,fees
I want to know Tell me about Computer Science,cse_courses
Please What is the syllabus for admission form?,admissions
Kindly Eligibility for admission?,admissions
I want to know How is the wifi at NIET?,hostel
Please Provide some information on CSE,cse_courses
Kindly Eligibility for mess?,hostel
Can you please Give me information about library at NIET,infrastructure
Please Career opportunities in Data Science,ai_courses
What is the syllabus for direct admission?,admissions
I want to know Give details about CS branch,cse_courses
Tell me about hostel fees,hostel
Kindly Duration of Civil department course?,civil_courses
Please Eligibility for Civil department?,civil_courses
Kindly Does NIET have hostel?,hostel
I want to know Career opportunities in Civil course,civil_courses
Is boys hostel free for students?,hostel
Kindly What courses are offered in Civil course?,civil_courses
I want to know What labs are available for hostel students?,hostel
Please Can you explain about hostel?,hostel
Kindly Hostel fees for Mechanical branch students?,mechanical_courses
I want to know Can you explain about medical facilities?,infrastructure
I want to know What is CS branch?,cse_courses
I want to know Give me information about gym at NIET,infrastructure
Tell me about direct admission,admissions
What is the syllabus for Civil department?,civil_courses
I want to know What is MBA fees?,fees
Please Hostel fees for gym students?,infrastructure
Kindly What are the subjects in B.Tech fees?,fees
Kindly Give details about Data Science,ai_courses
What courses are offered in Data Science?,ai_courses
Please Can you explain about AI program?,ai_courses
Kindly What is girls hostel?,hostel
Can you please Can I apply for CS branch?,cse_courses
Please What are the subjects in medical facilities?,infrastructure
Can you please What is the syllabus for Civil course?,civil_courses
Please What services are included in sports facilities?,infrastructure
I want to know Is medical facilities free for students?,infrastructure
Kindly Tell me about companies,placement
Please Provide some information on M.Tech fees,fees
Can you please Does NIET offer Mechanical course?,mechanical_courses
Please Provide some information on average package,placement
I want to know What are the features of hostel?,hostel
Please What is the syllabus for Mechanical course?,mechanical_courses
Can you please Does hostel provide library?,infrastructure
How is direct admission at NIET?,admissions
I want to know Does NIET offer installment payment?,fees
Can you please Give details about campus,infrastructure
Kindly Duration of installment payment course?,fees
Please What is MCA fees?,fees
Kindly What is the syllabus for Mechanical department?,mechanical_courses
Kindly What is installment payment?,fees
I want to know Eligibility for Mechanical department?,mechanical_courses
Kindly Does hostel provide girls hostel?,hostel
Please Can you explain about highest package?,placement
Can you please Is ac room available on campus?,hostel
Does NIET have campus?,infrastructure
I want to know What is campus?,infrastructure
What labs are available for admission date students?,admissions
I want to know Give details about admission,admissions
Can you please Placement details for girls hostel,hostel
Kindly Duration of Electrical branch course?,electrical_courses
I want to know Can I apply for CSE?,cse_courses
Please Placement details for placement,placement
Can you please Eligibility for boys hostel?,hostel
Can you please What courses are offered in admission form?,admissions
Please What courses are offered in CSE?,cse_courses
Kindly Can I apply for Mechanical department?,mechanical_courses
Can you please What is wifi?,hostel
Kindly Provide some information on Electrical branch,electrical_courses
I want to know Can you explain about Mechanical department?,mechanical_courses
Hostel fees for Civil department students?,civil_courses
I want to know Give details about ac room,hostel
Kindly Give me details of sports facilities,infrastructure
Can you please What are the subjects in Mechanical department?,mechanical_courses
I want to know Provide some information on ac room,hostel
Kindly Provide some information on CSE,cse_courses
Please What labs are available for girls hostel students?,hostel
Can you please Tell me about installment payment facility,fees
Placement details for CS branch,cse_courses
Can you please Tell me about hostel facilities facility,hostel
Kindly What services are included in MBA fees?,fees
Please Can I apply for wifi?,hostel
Can you please What labs are available for average package students?,placement
I want to know Is campus available at NIET?,infrastructure
I want to know Tell me about campus facility,infrastructure
Can you please Is installment payment available on campus?,fees
Fees for M.Tech fees program?,fees
Please Hostel fees for MCA fees students?,fees
Kindly How is the campus at NIET?,infrastructure
Please Provide some information on AI and ML,ai_courses
Can you please Does hostel provide girls hostel?,hostel
I want to know Duration of admission date course?,admissions
Can you please Is Civil Engineering available at NIET?,civil_courses
Please Career opportunities in Computer Science,cse_courses
Please Career opportunities in hostel,hostel
Please Fees for hostel fees program?,hostel
Does NIET offer Mechanical department?,mechanical_courses
Kindly Tell me about boys hostel facility,hostel
Tell me about campus,infrastructure
Can you please What are the subjects in college fees?,fees
Kindly What courses are offered in installment payment?,fees
Can you please Duration of admission date course?,admissions
Can you please What courses are offered in tuition fee?,fees
Please What is the syllabus for MCA fees?,fees
Duration of wifi course?,hostel
Can you please What is the syllabus for placement training?,placement
I want to know What is the syllabus for sports facilities?,infrastructure
Can you please Fees for Civil branch program?,civil_courses
Please What are the subjects in Mechanical department?,mechanical_courses
Please Provide some information on hostel,hostel
Can you please Can I apply for gym?,infrastructure
Can you please Provide some information on gym,infrastructure
Please Can you explain about admission process?,admissions
Please Hostel fees for admission date students?,admissions
Please What is admission process?,admissions
Kindly What are the features of installment payment?,fees
Provide some information on college fees,fees
Kindly Placement details for Computer Science Engineering,cse_courses
Kindly Does NIET offer AI program?,ai_courses
What courses are offered in hostel fees?,hostel
Hostel fees for average package students?,placement
How is AI program at NIET?,ai_courses
Please Does NIET have MBA fees?,fees
Kindly What courses are offered in mess?,hostel
Please Tell me about tuition fee facility,fees
Can you please Hostel fees for Computer Science Engineering students?,cse_courses
Can you please How is Computer Science at NIET?,cse_courses
Can you please Does NIET offer Mechanical Engineering?,mechanical_courses
Please Does hostel provide library?,infrastructure
Can you please What are the features of boys hostel?,hostel
Can you explain about AI and ML?,ai_courses
Can you please Give me details of admission form,admissions
Please Tell me about hostel,hostel
I want to know What are the subjects in companies?,placement
Kindly What is Artificial Intelligence?,ai_courses
Is admission available at NIET?,admissions
Can you please Placement details for highest package,placement
I want to know Is installment payment available at NIET?,fees
Is MBA fees available at NIET?,fees
I want to know Does NIET offer Civil branch?,civil_courses
Can you please Can I apply for sports facilities?,infrastructure
Kindly Fees for ac room program?,hostel
Kindly Give details about Electrical Engineering,electrical_courses
I want to know Give me details of hostel,hostel
Please What services are included in MCA fees?,fees
Please What is the syllabus for wifi?,hostel
I want to know Hostel fees for Electrical Engineering students?,electrical_courses
Please What are the subjects in installment payment?,fees
Kindly Eligibility for MBA fees?,fees
Can you please Provide some information on Mechanical Engineering,mechanical_courses
What courses are offered in AI program?,ai_courses
Fees for highest package program?,placement
Kindly Hostel fees for Civil department students?,civil_courses
Kindly What courses are offered in Electrical branch?,electrical_courses
What services are included in hostel?,hostel
I want to know Can I apply for companies?,placement
Does hostel provide college fees?,fees
Can I apply for Mechanical department?,mechanical_courses
Does NIET offer AI program?,ai_courses
Please What are the subjects in AI program?,ai_courses
Kindly Give me details of Civil department,civil_courses
Kindly Hostel fees for sports facilities students?,infrastructure
I want to know What are the features of tuition fee?,fees
I want to know What is the syllabus for AI program?,ai_courses
Kindly Provide some information on AI and ML,ai_courses
I want to know Duration of Computer Science Engineering course?,cse_courses
Please What are the subjects in wifi?,infrastructure
Please Give details about Civil Engineering,civil_courses
Fees for Mechanical branch program?,mechanical_courses
Kindly Fees for highest package program?,placement
I want to know Give me information about wifi at NIET,hostel
Please Placement details for AI and ML,ai_courses
What is medical facilities?,infrastructure
Can you please Fees for Civil department program?,civil_courses
Give me details of M.Tech fees,fees
Can you please What is hostel fees?,hostel
Can you please What courses are offered in Electrical Engineering?,electrical_courses
I want to know Provide some information on Computer Science,cse_courses
Please Is wifi free for students?,infrastructure
I want to know Can I apply for Computer Science Engineering?,cse_courses
Kindly What is the syllabus for boys hostel?,hostel
Kindly Is MBA fees available on campus?,fees
Fees for Data Science program?,ai_courses
Please Give me details of girls hostel,hostel
Kindly What labs are available for Electrical Engineering students?,electrical_courses
I want to know Give details about internship,placement
Please Hostel fees for installment payment students?,fees
Duration of hostel course?,hostel
What are the subjects in admission date?,admissions
Please How is AI and ML at NIET?,ai_courses
Please Tell me about AI and ML,ai_courses
Can you please Give me details of average package,placement
I want to know Give me details of campus,infrastructure
Kindly How is AI program at NIET?,ai_courses
Kindly Duration of admission date course?,admissions
I want to know Eligibility for average package?,placement
Please Career opportunities in installment payment,fees
I want to know What services are included in sports facilities?,infrastructure
I want to know What services are included in B.Tech fees?,fees
Please Provide some information on Civil branch,civil_courses
Can you please Is M.Tech fees free for students?,fees
Kindly Can you explain about hostel fees?,hostel
Please What courses are offered in Civil branch?,civil_courses
I want to know Provide some information on hostel fees,hostel
Career opportunities in Computer Science,cse_courses
Tell me about tuition fee,fees
Can you please Is installment payment free for students?,fees
Can you please Provide some information on wifi,hostel
I want to know How is the hostel fees at NIET?,hostel
I want to know Hostel fees for medical facilities students?,infrastructure
Kindly What is Civil branch?,civil_courses
Kindly Tell me about canteen facility,infrastructure
Tell me about medical facilities facility,infrastructure
Can I apply for companies?,placement
Please Eligibility for direct admission?,admissions
Please Does NIET have gym?,infrastructure
Can you please What labs are available for direct admission students?,admissions
Please What labs are available for admission date students?,admissions
Can you please Duration of internship course?,placement
Give me details of hostel facilities,hostel
Please Eligibility for MCA fees?,fees
Can you please What services are included in girls hostel?,hostel
I want to know Can I apply for admission process?,admissions
Can you please What is the syllabus for average package?,placement
Duration of admission process course?,admissions
Can you please Placement details for Electrical department,electrical_courses
Kindly How is Electrical course at NIET?,electrical_courses
Can you please Is hostel free for students?,hostel
I want to know What labs are available for girls hostel students?,hostel
Please What are the subjects in Mechanical course?,mechanical_courses
Can you please Does NIET have boys hostel?,hostel
Placement details for hostel facilities,hostel
I want to know Can you explain about companies?,placement
Kindly Give details about admission,admissions
Please Hostel fees for ac room students?,hostel
I want to know Fees for highest package program?,placement
Can you please Does NIET offer placement training?,placement
Please Eligibility for CSE?,cse_courses
I want to know Is wifi available on campus?,hostel
Kindly What labs are available for Civil course students?,civil_courses
Kindly Can I apply for canteen?,infrastructure
Placement details for placement,placement
Fees for admission process program?,admissions
What is Electrical Engineering?,electrical_courses
Fees for placement training program?,placement
Is placement available at NIET?,placement
Can you please What courses are offered in B.Tech fees?,fees
Career opportunities in companies,placement
I want to know What labs are available for Machine Learning students?,ai_courses
Can you please What are the subjects in Computer Science?,cse_courses
I want to know Give me information about medical facilities at NIET,infrastructure
I want to know Is sports facilities free for students?,infrastructure
Kindly Hostel fees for medical facilities students?,infrastructure
What is gym?,infrastructure
Can I apply for internship?,placement
Can you please What is admission process?,admissions
Tell me about college fees,fees
Give me details of boys hostel,hostel
I want to know Give me information about B.Tech fees at NIET,fees
Kindly Provide some information on Civil Engineering,civil_courses
Please What are the subjects in internship?,placement
Please Hostel fees for Mechanical department students?,mechanical_courses
Duration of girls hostel course?,hostel
Kindly Tell me about hostel facility,hostel
Is M.Tech fees available on campus?,fees
Please What are the subjects in boys hostel?,hostel
Kindly How is tuition fee at NIET?,fees
Give me details of Mechanical course,mechanical_courses
Kindly Give me information about mess at NIET,hostel
Kindly How is the canteen at NIET?,infrastructure
What are the subjects in admission form?,admissions
What services are included in boys hostel?,hostel
Please What is the syllabus for wifi?,infrastructure
Duration of admission date course?,admissions
Can you please Give me details of campus,infrastructure
I want to know Give details about Electrical department,electrical_courses
What labs are available for Mechanical department students?,mechanical_courses
Does NIET offer canteen?,infrastructure
Can you please Can I apply for college fees?,fees
Kindly Duration of tuition fee course?,fees
What is the syllabus for girls hostel?,hostel
Can you please Give details about Machine Learning,ai_courses
Please Eligibility for Machine Learning?,ai_courses
Please Provide some information on installment payment,fees
I want to know What are the subjects in library?,infrastructure
Kindly What is the syllabus for ac room?,hostel
Please Is MCA fees available at NIET?,fees
Can I apply for boys hostel?,hostel
Career opportunities in Mechanical department,mechanical_courses
Please Placement details for Mechanical department,mechanical_courses
I want to know What labs are available for ac room students?,hostel
Please Give me details of AI program,ai_courses
Please Placement details for Mechanical Engineering,mechanical_courses
Kindly What are the subjects in Civil course?,civil_courses
Can you please Is admission available at NIET?,admissions
Eligibility for admission date?,admissions
Can you please Does hostel provide mess?,hostel
Can you please Does hostel provide campus?,infrastructure
Can you please What services are included in installment payment?,fees
Please Duration of wifi course?,hostel
Is wifi free for students?,hostel
Give details about hostel facilities,hostel
I want to know What are the subjects in admission date?,admissions
Please Give me details of Electrical Engineering,electrical_courses
Duration of hostel facilities course?,hostel
Please Hostel fees for Electrical branch students?,electrical_courses
Please Provide some information on Civil Engineering,civil_courses
Can you please What services are included in wifi?,hostel
I want to know What is AI and ML?,ai_courses
Can you please Tell me about Civil branch,civil_courses
Hostel fees for wifi students?,infrastructure
I want to know Provide some information on average package,placement
Can I apply for Mechanical Engineering?,mechanical_courses
Can you please What is the syllabus for Electrical course?,electrical_courses
Can you please What are the subjects in boys hostel?,hostel
Kindly What are the subjects in Machine Learning?,ai_courses
Placement details for Electrical course,electrical_courses
Placement details for MBA fees,fees
Please Fees for Civil course program?,civil_courses
Can you please Career opportunities in Machine Learning,ai_courses
Career opportunities in installment payment,fees
Kindly What labs are available for Machine Learning students?,ai_courses
Kindly Does NIET offer Mechanical department?,mechanical_courses
Please What labs are available for hostel facilities students?,hostel
Can you please Duration of AI and ML course?,ai_courses
Can you please Provide some information on companies,placement
I want to know Duration of college fees course?,fees
Kindly Does NIET offer Mechanical branch?,mechanical_courses
Fees for hostel facilities program?,hostel
Can you please Placement details for hostel facilities,hostel
Please Give me details of Machine Learning,ai_courses
I want to know What is the syllabus for installment payment?,fees
Can you please Eligibility for hostel facilities?,hostel
Kindly What labs are available for Artificial Intelligence students?,ai_courses
Please Does NIET offer companies?,placement
Can you please Eligibility for girls hostel?,hostel
Please Duration of B.Tech fees course?,fees
Kindly How is hostel fees at NIET?,hostel
Is MCA fees available at NIET?,fees
I want to know Career opportunities in hostel fees,hostel
Please What is the syllabus for mess?,hostel
Please What are the subjects in gym?,infrastructure
Can you please Eligibility for admission?,admissions
Placement details for Mechanical department,mechanical_courses
Please Can you explain about Computer Science?,cse_courses
Can I apply for tuition fee?,fees
I want to know Give me details of Mechanical course,mechanical_courses
Please Hostel fees for Civil branch students?,civil_courses
Please Tell me about college fees,fees
Can you please Can you explain about library?,infrastructure
Can you please Tell me about college fees,fees
Can you please What labs are available for tuition fee students?,fees
I want to know Give details about admission form,admissions
Can you please How is Civil course at NIET?,civil_courses
Can you please Placement details for ac room,hostel
Kindly Can I apply for CSE?,cse_courses
Kindly Fees for Computer Science program?,cse_courses
Can you please Give me details of Mechanical branch,mechanical_courses
I want to know Is Data Science available at NIET?,ai_courses
I want to know Placement details for tuition fee,fees
Kindly How is Civil department at NIET?,civil_courses
I want to know Does NIET have library?,infrastructure
Please Fees for MCA fees program?,fees
I want to know What are the subjects in gym?,infrastructure
Please Can you explain about internship?,placement
Kindly Provide some information on Machine Learning,ai_courses
Please How is ac room at NIET?,hostel
Eligibility for gym?,infrastructure
I want to know How is Mechanical course at NIET?,mechanical_courses
Kindly What is sports facilities?,infrastructure
I want to know Fees for internship program?,placement
I want to know What labs are available for Computer Science Engineering students?,cse_courses
Is wifi available on campus?,infrastructure
Kindly Can I apply for tuition fee?,fees
Please What is placement training?,placement
Can you please Is Civil course available at NIET?,civil_courses
Please What courses are offered in college fees?,fees
Can you please What is the syllabus for placement?,placement
Can you please Give details about mess,hostel
Can you please How is ac room at NIET?,hostel
Kindly Give details about Mechanical branch,mechanical_courses
Kindly Does NIET offer placement training?,placement
I want to know How is placement at NIET?,placement
Does NIET offer Mechanical course?,mechanical_courses
Kindly What is the syllabus for placement training?,placement
Kindly How is B.Tech fees at NIET?,fees
Kindly Eligibility for average package?,placement
Please Give me details of gym,infrastructure
Can you please What labs are available for boys hostel students?,hostel
What are the subjects in MBA fees?,fees
Kindly Give me details of Civil branch,civil_courses
Please Duration of highest package course?,placement
I want to know Provide some information on Electrical Engineering,electrical_courses
Can you please Eligibility for Computer Science Engineering?,cse_courses
I want to know Fees for MCA fees program?,fees
Fees for Electrical department program?,electrical_courses
Can you please What is JEE admission?,admissions
I want to know What labs are available for M.Tech fees students?,fees
Kindly Tell me about internship,placement
Kindly What courses are offered in Electrical course?,electrical_courses
Can you please Does hostel provide B.Tech fees?,fees
Kindly How is Civil Engineering at NIET?,civil_courses
I want to know Can I apply for admission?,admissions
Can you please How is hostel at NIET?,hostel
I want to know What labs are available for placement training students?,placement
Please Does hostel provide MBA fees?,fees
Please Placement details for canteen,infrastructure
Can you please Eligibility for internship?,placement
Career opportunities in Civil course,civil_courses
Please How is Civil branch at NIET?,civil_courses
Kindly How is placement at NIET?,placement
Please What is the syllabus for AI program?,ai_courses
Please Provide some information on B.Tech fees,fees
Kindly What labs are available for M.Tech fees students?,fees
I want to know Does NIET offer gym?,infrastructure
Kindly Give details about direct admission,admissions
Can you please What is the syllabus for wifi?,hostel
Can you please Hostel fees for Electrical department students?,electrical_courses
Please Does NIET offer ac room?,hostel
Eligibility for placement?,placement
Kindly Placement details for MBA fees,fees
Kindly Is Artificial Intelligence available at NIET?,ai_courses
Can you please How is Civil Engineering at NIET?,civil_courses
What are the subjects in Computer Science?,cse_courses
Please Give me details of admission process,admissions
Does NIET offer JEE admission?,admissions
Does hostel provide B.Tech fees?,fees
Kindly Does hostel provide MCA fees?,fees
Kindly Eligibility for canteen?,infrastructure
Can I apply for mess?,hostel
Please Tell me about campus,infrastructure
What is the syllabus for CSE?,cse_courses
Tell me about ac room facility,hostel
Please How is the wifi at NIET?,hostel
Placement details for mess,hostel
What courses are offered in Electrical department?,electrical_courses
Can you please Does NIET offer AI and ML?,ai_courses
I want to know Is CSE available at NIET?,cse_courses
I want to know Can I apply for Electrical Engineering?,electrical_courses
Kindly Give me details of Data Science,ai_courses
Please What are the subjects in Electrical course?,electrical_courses
Kindly Fees for medical facilities program?,infrastructure
Please Can you explain about companies?,placement
Please Does hostel provide wifi?,infrastructure
Can you please Tell me about M.Tech fees facility,fees
I want to know Placement details for medical facilities,infrastructure
Kindly Duration of ac room course?,hostel
Kindly Give details about installment payment,fees
